Indicator,Year,Geography,FIPS,Race,Sex,Age group,Misc,Rate,Cases,Population
AIDS deaths,2001,Connecticut,9,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.5,295,"2,816,060"
AIDS deaths,2001,Delaware,10,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,14.2,93,"653,251"
AIDS deaths,2001,District of Columbia,11,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,73.9,362,"490,148"
AIDS deaths,2001,Florida,12,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,16,"2,188","13,685,697"
AIDS deaths,2001,Georgia,13,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,12,814,"6,792,178"
AIDS deaths,2001,Guam,66,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.6,3,"115,963"
AIDS deaths,2001,Hawaii,15,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.9,39,"1,007,675"
AIDS deaths,2001,Idaho,16,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.1,12,"1,056,451"
AIDS deaths,2001,Illinois,17,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.6,668,"10,149,504"
AIDS deaths,2001,Indiana,18,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,180,"4,987,767"
AIDS deaths,2001,Iowa,19,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.2,30,"2,416,480"
AIDS deaths,2001,Kansas,20,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.6,57,"2,197,705"
AIDS deaths,2001,Kentucky,21,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,121,"3,355,536"
AIDS deaths,2001,Louisiana,22,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13.5,488,"3,611,255"
AIDS deaths,2001,Maine,23,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.7,18,"1,078,965"
AIDS deaths,2001,Maryland,24,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,18,788,"4,388,323"
AIDS deaths,2001,Massachusetts,25,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.9,366,"5,321,763"
AIDS deaths,2001,Michigan,26,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.3,354,"8,145,957"
AIDS deaths,2001,Minnesota,27,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.6,66,"4,072,246"
AIDS deaths,2001,Mississippi,28,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.1,233,"2,302,483"
AIDS deaths,2001,Missouri,29,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.4,203,"4,629,373"
AIDS deaths,2001,Montana,30,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.9,7,"750,912"
AIDS deaths,2001,Nebraska,31,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,45,"1,402,199"
AIDS deaths,2001,Nevada,32,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.8,98,"1,695,164"
AIDS deaths,2001,New Hampshire,33,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,16,"1,036,269"
AIDS deaths,2001,New Jersey,34,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,14.9,"1,038","6,957,089"
AIDS deaths,2001,New Mexico,35,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,47,"1,473,887"
AIDS deaths,2001,New York,36,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,19.1,"2,999","15,707,834"
AIDS deaths,2001,North Carolina,37,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.8,393,"6,738,139"
AIDS deaths,2001,North Dakota,38,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.1,6,"529,803"
AIDS deaths,2001,Northern Mariana Islands,69,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,"58,080"
AIDS deaths,2001,Ohio,39,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.8,258,"9,338,793"
AIDS deaths,2001,Oklahoma,40,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,105,"2,836,102"
AIDS deaths,2001,Oregon,41,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,92,"2,864,127"
AIDS deaths,2001,Pennsylvania,42,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7,722,"10,246,758"
AIDS deaths,2001,Puerto Rico,72,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,26.3,806,"3,059,068"
AIDS deaths,2001,Rhode Island,44,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.1,45,"879,198"
AIDS deaths,2001,South Carolina,45,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,11,367,"3,332,831"
AIDS deaths,2001,South Dakota,46,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1,6,"619,560"
AIDS deaths,2001,Tennessee,47,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.4,352,"4,739,081"
AIDS deaths,2001,Texas,48,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.8,"1,327","16,977,931"
AIDS deaths,2001,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.9,5,"85,163"
AIDS deaths,2001,Utah,49,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,26,"1,762,207"
AIDS deaths,2001,Vermont,50,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.6,8,"512,075"
AIDS deaths,2001,Virginia,51,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.4,322,"5,924,732"
AIDS deaths,2001,Washington,53,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.4,165,"4,903,837"
AIDS deaths,2001,West Virginia,54,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.4,36,"1,520,887"
AIDS deaths,2001,Wisconsin,55,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.2,99,"4,451,651"
AIDS deaths,2001,Wyoming,56,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1,4,"407,482"
AIDS deaths,2002,Alabama,1,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7,258,"3,676,368"
AIDS deaths,2002,Alaska,2,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.3,22,"510,199"
AIDS deaths,2002,American Samoa,60,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,"39,577"
AIDS deaths,2002,Arizona,4,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.9,213,"4,390,388"
AIDS deaths,2002,Arkansas,5,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.4,98,"2,220,736"
AIDS deaths,2002,California,6,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.4,"1,788","28,026,577"
AIDS deaths,2002,Colorado,8,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,135,"3,680,890"
AIDS deaths,2002,Connecticut,9,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.6,301,"2,840,219"
AIDS deaths,2002,Delaware,10,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13.3,88,"662,439"
AIDS deaths,2002,District of Columbia,11,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,70.2,345,"491,442"
AIDS deaths,2002,Florida,12,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,16.4,"2,296","13,975,036"
AIDS deaths,2002,Georgia,13,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.7,741,"6,927,931"
AIDS deaths,2002,Guam,66,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.8,1,"118,261"
AIDS deaths,2002,Hawaii,15,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.3,44,"1,018,047"
AIDS deaths,2002,Idaho,16,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.4,15,"1,074,802"
AIDS deaths,2002,Illinois,17,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.7,681,"10,208,110"
AIDS deaths,2002,Indiana,18,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.5,174,"5,015,786"
AIDS deaths,2002,Iowa,19,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.4,34,"2,421,387"
AIDS deaths,2002,Kansas,20,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.3,50,"2,210,646"
AIDS deaths,2002,Kentucky,21,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,121,"3,378,471"
AIDS deaths,2002,Louisiana,22,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13,472,"3,624,180"
AIDS deaths,2002,Maine,23,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.1,23,"1,090,852"
AIDS deaths,2002,Maryland,24,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,18.8,836,"4,453,270"
AIDS deaths,2002,Massachusetts,25,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.7,303,"5,360,534"
AIDS deaths,2002,Michigan,26,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.1,335,"8,197,129"
AIDS deaths,2002,Minnesota,27,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.8,73,"4,113,120"
AIDS deaths,2002,Mississippi,28,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,8.8,203,"2,311,524"
AIDS deaths,2002,Missouri,29,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.9,184,"4,669,833"
AIDS deaths,2002,Montana,30,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,11,"756,734"
AIDS deaths,2002,Nebraska,31,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.2,31,"1,409,289"
AIDS deaths,2002,Nevada,32,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,105,"1,753,069"
AIDS deaths,2002,New Hampshire,33,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,16,"1,052,153"
AIDS deaths,2002,New Jersey,34,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.5,"1,087","7,014,867"
AIDS deaths,2002,New Mexico,35,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,55,"1,495,584"
AIDS deaths,2002,New York,36,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,18.3,"2,900","15,811,518"
AIDS deaths,2002,North Carolina,37,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,407,"6,835,653"
AIDS deaths,2002,North Dakota,38,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.4,2,"529,457"
AIDS deaths,2002,Northern Mariana Islands,69,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,"60,350"
AIDS deaths,2002,Ohio,39,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3,286,"9,383,766"
AIDS deaths,2002,Oklahoma,40,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,104,"2,854,337"
AIDS deaths,2002,Oregon,41,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,104,"2,909,824"
AIDS deaths,2002,Pennsylvania,42,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.5,770,"10,297,843"
AIDS deaths,2002,Puerto Rico,72,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,24.1,746,"3,089,506"
AIDS deaths,2002,Rhode Island,44,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.7,42,"888,037"
AIDS deaths,2002,South Carolina,45,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.9,367,"3,374,298"
AIDS deaths,2002,South Dakota,46,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.1,7,"624,064"
AIDS deaths,2002,Tennessee,47,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,8.2,391,"4,786,119"
AIDS deaths,2002,Texas,48,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.7,"1,326","17,282,042"
AIDS deaths,2002,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,12.8,11,"85,959"
AIDS deaths,2002,Utah,49,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2,36,"1,797,806"
AIDS deaths,2002,Vermont,50,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1,5,"517,188"
AIDS deaths,2002,Virginia,51,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.6,336,"6,008,506"
AIDS deaths,2002,Washington,53,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,158,"4,974,675"
AIDS deaths,2002,West Virginia,54,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.6,39,"1,523,049"
AIDS deaths,2002,Wisconsin,55,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.2,100,"4,496,002"
AIDS deaths,2002,Wyoming,56,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.7,3,"411,397"
AIDS deaths,2003,Alabama,1,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.7,248,"3,701,630"
AIDS deaths,2003,Alaska,2,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1,5,"519,682"
AIDS deaths,2003,American Samoa,60,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,"40,487"
AIDS deaths,2003,Arizona,4,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.3,241,"4,506,957"
AIDS deaths,2003,Arkansas,5,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4,89,"2,238,799"
AIDS deaths,2003,California,6,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.4,"1,807","28,413,343"
AIDS deaths,2003,Colorado,8,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,122,"3,721,690"
AIDS deaths,2003,Connecticut,9,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.5,301,"2,865,678"
AIDS deaths,2003,Delaware,10,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.9,107,"673,153"
AIDS deaths,2003,District of Columbia,11,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,76.9,378,"491,773"
AIDS deaths,2003,Florida,12,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,16.5,"2,351","14,253,456"
AIDS deaths,2003,Georgia,13,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.8,763,"7,055,209"
AIDS deaths,2003,Guam,66,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,4,"120,622"
AIDS deaths,2003,Hawaii,15,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,37,"1,029,175"
AIDS deaths,2003,Idaho,16,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,16,"1,094,712"
AIDS deaths,2003,Illinois,17,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.4,655,"10,266,174"
AIDS deaths,2003,Indiana,18,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,165,"5,054,339"
AIDS deaths,2003,Iowa,19,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,32,"2,429,272"
AIDS deaths,2003,Kansas,20,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3,66,"2,222,213"
AIDS deaths,2003,Kentucky,21,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.7,92,"3,406,044"
AIDS deaths,2003,Louisiana,22,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,14.1,513,"3,638,940"
AIDS deaths,2003,Maine,23,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,21,"1,103,006"
AIDS deaths,2003,Maryland,24,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,19.5,882,"4,514,730"
AIDS deaths,2003,Massachusetts,25,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,322,"5,388,168"
AIDS deaths,2003,Michigan,26,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.9,324,"8,255,625"
AIDS deaths,2003,Minnesota,27,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,77,"4,151,569"
AIDS deaths,2003,Mississippi,28,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10,233,"2,324,291"
AIDS deaths,2003,Missouri,29,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.2,200,"4,709,970"
AIDS deaths,2003,Montana,30,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.8,6,"765,173"
AIDS deaths,2003,Nebraska,31,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.8,26,"1,418,411"
AIDS deaths,2003,Nevada,32,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.3,133,"1,813,322"
AIDS deaths,2003,New Hampshire,33,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,20,"1,066,193"
AIDS deaths,2003,New Jersey,34,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13.2,931,"7,063,290"
AIDS deaths,2003,New Mexico,35,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.7,71,"1,517,325"
AIDS deaths,2003,New York,36,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,18.3,"2,908","15,926,650"
AIDS deaths,2003,North Carolina,37,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.4,445,"6,924,400"
AIDS deaths,2003,North Dakota,38,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,8,"530,557"
AIDS deaths,2003,Northern Mariana Islands,69,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,"62,677"
AIDS deaths,2003,Ohio,39,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.9,273,"9,433,101"
AIDS deaths,2003,Oklahoma,40,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.8,110,"2,868,825"
AIDS deaths,2003,Oregon,41,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4,118,"2,946,163"
AIDS deaths,2003,Pennsylvania,42,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.9,716,"10,356,890"
AIDS deaths,2003,Puerto Rico,72,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,21.2,661,"3,122,955"
AIDS deaths,2003,Rhode Island,44,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.4,48,"895,585"
AIDS deaths,2003,South Carolina,45,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9.8,336,"3,419,249"
AIDS deaths,2003,South Dakota,46,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.3,2,"629,905"
AIDS deaths,2003,Tennessee,47,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.3,351,"4,837,552"
AIDS deaths,2003,Texas,48,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.1,"1,253","17,566,043"
AIDS deaths,2003,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13.8,12,"86,709"
