State,Type of Crime,Crime,Year,Count
Alabama,Violent Crime,Robbery,1976,3520
Alabama,Violent Crime,Robbery,1977,3572
Alabama,Violent Crime,Robbery,1978,3708
Alabama,Violent Crime,Robbery,1979,4127
Alabama,Violent Crime,Robbery,1980,5102
Alabama,Violent Crime,Robbery,1981,4952
Alabama,Violent Crime,Robbery,1982,4417
Alabama,Violent Crime,Robbery,1983,3895
Alabama,Violent Crime,Robbery,1984,3833
Alabama,Violent Crime,Robbery,1985,4237
Alabama,Violent Crime,Robbery,1986,4523
Alabama,Violent Crime,Robbery,1987,4581
Alabama,Violent Crime,Robbery,1988,4860
Alabama,Violent Crime,Robbery,1989,5515
Alabama,Violent Crime,Robbery,1990,5805
Alabama,Violent Crime,Robbery,1991,6246
Alabama,Violent Crime,Robbery,1992,6819
Alabama,Violent Crime,Robbery,1993,6677
Alabama,Violent Crime,Robbery,1994,7223
Alabama,Violent Crime,Robbery,1995,7900
Alabama,Violent Crime,Robbery,1996,7124
Alabama,Violent Crime,Robbery,1997,6931
Alabama,Violent Crime,Robbery,1998,5698
Alabama,Violent Crime,Robbery,1999,5297
Alabama,Violent Crime,Robbery,2000,5702
Alabama,Violent Crime,Robbery,2001,5584
Alabama,Violent Crime,Robbery,2002,5962
Alabama,Violent Crime,Robbery,2003,6038
Alabama,Violent Crime,Robbery,2004,6042
Alabama,Violent Crime,Robbery,2005,6447
Alabama,Violent Crime,Aggravated assault,1960,4512
Alabama,Violent Crime,Aggravated assault,1961,4255
Alabama,Violent Crime,Aggravated assault,1962,3995
Alabama,Violent Crime,Aggravated assault,1963,4755
Alabama,Violent Crime,Aggravated assault,1964,5555
Alabama,Violent Crime,Aggravated assault,1965,5162
Alabama,Violent Crime,Aggravated assault,1966,6249
Alabama,Violent Crime,Aggravated assault,1967,6495
Alabama,Violent Crime,Aggravated assault,1968,6009
Alabama,Violent Crime,Aggravated assault,1969,6415
Alabama,Violent Crime,Aggravated assault,1970,7413
Alabama,Violent Crime,Aggravated assault,1971,7645
Alabama,Violent Crime,Aggravated assault,1972,7431
Alabama,Violent Crime,Aggravated assault,1973,8362
Alabama,Violent Crime,Aggravated assault,1974,8429
Alabama,Violent Crime,Aggravated assault,1975,8440
Alabama,Violent Crime,Aggravated assault,1976,9381
Alabama,Violent Crime,Aggravated assault,1977,10268
Alabama,Violent Crime,Aggravated assault,1978,10521
Alabama,Violent Crime,Aggravated assault,1979,9918
Alabama,Violent Crime,Aggravated assault,1980,10551
Alabama,Violent Crime,Aggravated assault,1981,11985
Alabama,Violent Crime,Aggravated assault,1982,11793
Alabama,Violent Crime,Aggravated assault,1983,11281
Alabama,Violent Crime,Aggravated assault,1984,11995
Alabama,Violent Crime,Aggravated assault,1985,12686
Alabama,Violent Crime,Aggravated assault,1986,16534
Alabama,Violent Crime,Aggravated assault,1987,16735
Alabama,Violent Crime,Aggravated assault,1988,16556
Alabama,Violent Crime,Aggravated assault,1989,17117
Alabama,Violent Crime,Aggravated assault,1990,21039
Alabama,Violent Crime,Aggravated assault,1991,26348
Alabama,Violent Crime,Aggravated assault,1992,27074
Alabama,Violent Crime,Aggravated assault,1993,24044
Alabama,Violent Crime,Aggravated assault,1994,19633
Alabama,Violent Crime,Aggravated assault,1995,17169
Alabama,Violent Crime,Aggravated assault,1996,15194
Alabama,Violent Crime,Aggravated assault,1997,15626
Alabama,Violent Crime,Aggravated assault,1998,14791
Alabama,Violent Crime,Aggravated assault,1999,14266
Alabama,Violent Crime,Aggravated assault,2000,14107
Alabama,Violent Crime,Aggravated assault,2001,12250
Alabama,Violent Crime,Aggravated assault,2002,12002
Alabama,Violent Crime,Aggravated assault,2003,11338
Alabama,Violent Crime,Aggravated assault,2004,11286
Alabama,Violent Crime,Aggravated assault,2005,11293
Alabama,Property Crime,Burglary,1960,11626
Alabama,Property Crime,Burglary,1961,11205
Alabama,Property Crime,Burglary,1962,11722
Alabama,Property Crime,Burglary,1963,12614
Alabama,Property Crime,Burglary,1964,15898
Alabama,Property Crime,Burglary,1965,16398
Alabama,Property Crime,Burglary,1966,18551
Alabama,Property Crime,Burglary,1967,20227
Alabama,Property Crime,Burglary,1968,22403
Alabama,Property Crime,Burglary,1969,23559
Alabama,Property Crime,Burglary,1970,26739
Alabama,Property Crime,Burglary,1971,27547
Alabama,Property Crime,Burglary,1972,27714
Alabama,Property Crime,Burglary,1973,31754
Alabama,Property Crime,Burglary,1974,37841
Alabama,Property Crime,Burglary,1975,42059
Alabama,Property Crime,Burglary,1976,42879
Alabama,Property Crime,Burglary,1977,41901
Alabama,Property Crime,Burglary,1978,46001
Alabama,Property Crime,Burglary,1979,48517
Alabama,Property Crime,Burglary,1980,58952
Alabama,Property Crime,Burglary,1981,56811
Alabama,Property Crime,Burglary,1982,49531
Alabama,Property Crime,Burglary,1983,42485
Alabama,Property Crime,Burglary,1984,39970
Alabama,Property Crime,Burglary,1985,41612
Alabama,Property Crime,Burglary,1986,46974
Alabama,Property Crime,Burglary,1987,48927
Alabama,Property Crime,Burglary,1988,50920
Alabama,Property Crime,Burglary,1989,47224
Alabama,Property Crime,Burglary,1990,44585
Alabama,Property Crime,Burglary,1991,51873
Alabama,Property Crime,Burglary,1992,49053
Alabama,Property Crime,Burglary,1993,45578
Alabama,Property Crime,Burglary,1994,44064
Alabama,Property Crime,Burglary,1995,43586
Alabama,Property Crime,Burglary,1996,42821
Alabama,Property Crime,Burglary,1997,43786
Alabama,Property Crime,Burglary,1998,41965
Alabama,Property Crime,Burglary,1999,38648
Alabama,Property Crime,Burglary,2000,40331
Alabama,Property Crime,Burglary,2001,40642
Alabama,Property Crime,Burglary,2002,42578
Alabama,Property Crime,Burglary,2003,43245
Alabama,Property Crime,Burglary,2004,44666
Alabama,Property Crime,Burglary,2005,43473
Alabama,Property Crime,Larceny-theft,1960,19344
Alabama,Property Crime,Larceny-theft,1961,18801
Alabama,Property Crime,Larceny-theft,1962,21306
Alabama,Property Crime,Larceny-theft,1963,22874
Alabama,Property Crime,Larceny-theft,1964,26713
Alabama,Property Crime,Larceny-theft,1965,28115
Alabama,Property Crime,Larceny-theft,1966,30583
Alabama,Property Crime,Larceny-theft,1967,31682
Alabama,Property Crime,Larceny-theft,1968,34508
Alabama,Property Crime,Larceny-theft,1969,36644
Alabama,Property Crime,Larceny-theft,1970,40779
Alabama,Property Crime,Larceny-theft,1971,40841
Alabama,Property Crime,Larceny-theft,1972,38493
Alabama,Property Crime,Larceny-theft,1973,39206
Alabama,Property Crime,Larceny-theft,1974,46813
Alabama,Property Crime,Larceny-theft,1975,59470
Alabama,Property Crime,Larceny-theft,1976,72832
Alabama,Property Crime,Larceny-theft,1977,69442
Alabama,Property Crime,Larceny-theft,1978,74387
Alabama,Property Crime,Larceny-theft,1979,83791
Alabama,Property Crime,Larceny-theft,1980,102029
Alabama,Property Crime,Larceny-theft,1981,105471
Alabama,Property Crime,Larceny-theft,1982,104740
Alabama,Property Crime,Larceny-theft,1983,94279
Alabama,Property Crime,Larceny-theft,1984,89198
Alabama,Property Crime,Larceny-theft,1985,88108
Alabama,Property Crime,Larceny-theft,1986,93396
Alabama,Property Crime,Larceny-theft,1987,99260
Alabama,Property Crime,Larceny-theft,1988,103282
Alabama,Property Crime,Larceny-theft,1989,106771
Alabama,Property Crime,Larceny-theft,1990,111336
Alabama,Property Crime,Larceny-theft,1991,118151
Alabama,Property Crime,Larceny-theft,1992,117801
Alabama,Property Crime,Larceny-theft,1993,111878
Alabama,Property Crime,Larceny-theft,1994,119951
Alabama,Property Crime,Larceny-theft,1995,120967
Alabama,Property Crime,Larceny-theft,1996,123350
Alabama,Property Crime,Larceny-theft,1997,127616
Alabama,Property Crime,Larceny-theft,1998,120943
Alabama,Property Crime,Larceny-theft,1999,119616
Alabama,Property Crime,Larceny-theft,2000,127399
Alabama,Property Crime,Larceny-theft,2001,119992
Alabama,Property Crime,Larceny-theft,2002,123932
Alabama,Property Crime,Larceny-theft,2003,124039
Alabama,Property Crime,Larceny-theft,2004,123650
Alabama,Property Crime,Larceny-theft,2005,120780
Alabama,Property Crime,Motor vehicle theft,1960,2853
Alabama,Property Crime,Motor vehicle theft,1961,2535
Alabama,Property Crime,Motor vehicle theft,1962,2801
Alabama,Property Crime,Motor vehicle theft,1963,3033
Alabama,Property Crime,Motor vehicle theft,1964,3679
Alabama,Property Crime,Motor vehicle theft,1965,3702
Alabama,Property Crime,Motor vehicle theft,1966,4606
Alabama,Property Crime,Motor vehicle theft,1967,5170
Alabama,Property Crime,Motor vehicle theft,1968,6086
Alabama,Property Crime,Motor vehicle theft,1969,6045
Alabama,Property Crime,Motor vehicle theft,1970,7696
Alabama,Property Crime,Motor vehicle theft,1971,7696
Alabama,Property Crime,Motor vehicle theft,1972,6846
Alabama,Property Crime,Motor vehicle theft,1973,8039
Alabama,Property Crime,Motor vehicle theft,1974,9322
Alabama,Property Crime,Motor vehicle theft,1975,9767
Alabama,Property Crime,Motor vehicle theft,1976,9614
Alabama,Property Crime,Motor vehicle theft,1977,10359
Alabama,Property Crime,Motor vehicle theft,1978,11319
Alabama,Property Crime,Motor vehicle theft,1979,12064
Alabama,Property Crime,Motor vehicle theft,1980,12210
Alabama,Property Crime,Motor vehicle theft,1981,11129
Alabama,Property Crime,Motor vehicle theft,1982,10777
Alabama,Property Crime,Motor vehicle theft,1983,9126
Alabama,Property Crime,Motor vehicle theft,1984,9319
Alabama,Property Crime,Motor vehicle theft,1985,10395
Alabama,Property Crime,Motor vehicle theft,1986,10821
Alabama,Property Crime,Motor vehicle theft,1987,10731
Alabama,Property Crime,Motor vehicle theft,1988,11007
Alabama,Property Crime,Motor vehicle theft,1989,12249
Alabama,Property Crime,Motor vehicle theft,1990,14053
Alabama,Property Crime,Motor vehicle theft,1991,14858
Alabama,Property Crime,Motor vehicle theft,1992,14983
Alabama,Property Crime,Motor vehicle theft,1993,14142
Alabama,Property Crime,Motor vehicle theft,1994,14000
Alabama,Property Crime,Motor vehicle theft,1995,14741
Alabama,Property Crime,Motor vehicle theft,1996,15632
Alabama,Property Crime,Motor vehicle theft,1997,15407
Alabama,Property Crime,Motor vehicle theft,1998,14871
Alabama,Property Crime,Motor vehicle theft,1999,13134
Alabama,Property Crime,Motor vehicle theft,2000,12809
Alabama,Property Crime,Motor vehicle theft,2001,12619
Alabama,Property Crime,Motor vehicle theft,2002,13890
Alabama,Property Crime,Motor vehicle theft,2003,14957
Alabama,Property Crime,Motor vehicle theft,2004,14024
Alabama,Property Crime,Motor vehicle theft,2005,13140
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1960,23
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1961,27
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1962,11
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1963,16
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1964,26
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1965,16
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1966,35
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1967,26
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1968,29
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1969,30
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1970,37
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1971,42
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1972,31
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1973,33
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1974,46
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1975,43
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1976,43
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1977,44
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1978,52
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1979,54
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1980,39
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1981,60
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1982,81
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1983,66
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1984,58
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1985,51
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1986,46
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1987,53
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1988,29
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1989,42
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1990,41
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1991,42
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1992,44
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1993,54
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1994,38
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1995,55
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1996,45
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1997,54
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1998,41
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,1999,52
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,2000,27
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,2001,39
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,2002,33
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,2003,39
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,2004,37
Alaska,Violent Crime,Murder and nonnegligent Manslaughter,2005,32
Alaska,Violent Crime,Forcible rape,1960,47
Alaska,Violent Crime,Forcible rape,1961,31
Alaska,Violent Crime,Forcible rape,1962,46
Alaska,Violent Crime,Forcible rape,1963,37
Alaska,Violent Crime,Forcible rape,1964,56
Alaska,Violent Crime,Forcible rape,1965,45
Alaska,Violent Crime,Forcible rape,1966,53
Alaska,Violent Crime,Forcible rape,1967,48
Alaska,Violent Crime,Forcible rape,1968,60
Alaska,Violent Crime,Forcible rape,1969,83
Alaska,Violent Crime,Forcible rape,1970,79
Alaska,Violent Crime,Forcible rape,1971,136
Alaska,Violent Crime,Forcible rape,1972,136
Alaska,Violent Crime,Forcible rape,1973,147
Alaska,Violent Crime,Forcible rape,1974,166
Alaska,Violent Crime,Forcible rape,1975,157
Alaska,Violent Crime,Forcible rape,1976,179
Alaska,Violent Crime,Forcible rape,1977,210
Alaska,Violent Crime,Forcible rape,1978,224
Alaska,Violent Crime,Forcible rape,1979,292
Alaska,Violent Crime,Forcible rape,1980,250
Alaska,Violent Crime,Forcible rape,1981,421
Alaska,Violent Crime,Forcible rape,1982,374
Alaska,Violent Crime,Forcible rape,1983,486
Alaska,Violent Crime,Forcible rape,1984,458
Alaska,Violent Crime,Forcible rape,1985,402
Alaska,Violent Crime,Forcible rape,1986,388
Alaska,Violent Crime,Forcible rape,1987,341
Alaska,Violent Crime,Forcible rape,1988,296
Alaska,Violent Crime,Forcible rape,1989,279
Alaska,Violent Crime,Forcible rape,1990,401
Alaska,Violent Crime,Forcible rape,1991,523
Alaska,Violent Crime,Forcible rape,1992,579
Alaska,Violent Crime,Forcible rape,1993,502
Alaska,Violent Crime,Forcible rape,1994,418
Alaska,Violent Crime,Forcible rape,1995,485
Alaska,Violent Crime,Forcible rape,1996,398
Alaska,Violent Crime,Forcible rape,1997,403
Alaska,Violent Crime,Forcible rape,1998,421
Alaska,Violent Crime,Forcible rape,1999,517
Alaska,Violent Crime,Forcible rape,2000,497
Alaska,Violent Crime,Forcible rape,2001,501
Alaska,Violent Crime,Forcible rape,2002,511
Alaska,Violent Crime,Forcible rape,2003,605
Alaska,Violent Crime,Forcible rape,2004,558
Alaska,Violent Crime,Forcible rape,2005,538
Alaska,Violent Crime,Robbery,1960,64
Alaska,Violent Crime,Robbery,1961,29
Alaska,Violent Crime,Robbery,1962,34
Alaska,Violent Crime,Robbery,1963,55
Alaska,Violent Crime,Robbery,1964,53
Alaska,Violent Crime,Robbery,1965,101
Alaska,Violent Crime,Robbery,1966,98
Alaska,Violent Crime,Robbery,1967,96
Alaska,Violent Crime,Robbery,1968,146
Alaska,Violent Crime,Robbery,1969,190
Alaska,Violent Crime,Robbery,1970,217
Alaska,Violent Crime,Robbery,1971,210
Alaska,Violent Crime,Robbery,1972,216
Alaska,Violent Crime,Robbery,1973,221
Alaska,Violent Crime,Robbery,1974,298
Alaska,Violent Crime,Robbery,1975,456
Alaska,Violent Crime,Robbery,1976,477
Alaska,Violent Crime,Robbery,1977,394
Alaska,Violent Crime,Robbery,1978,368
Alaska,Violent Crime,Robbery,1979,445
Alaska,Violent Crime,Robbery,1980,360
Alaska,Violent Crime,Robbery,1981,472
Alaska,Violent Crime,Robbery,1982,586
Alaska,Violent Crime,Robbery,1983,465
Alaska,Violent Crime,Robbery,1984,547
Alaska,Violent Crime,Robbery,1985,484
Alaska,Violent Crime,Robbery,1986,470
Alaska,Violent Crime,Robbery,1987,384
Alaska,Violent Crime,Robbery,1988,374
Alaska,Violent Crime,Robbery,1989,356
Alaska,Violent Crime,Robbery,1990,422
Alaska,Violent Crime,Robbery,1991,645
Alaska,Violent Crime,Robbery,1992,640
Alaska,Violent Crime,Robbery,1993,733
Alaska,Violent Crime,Robbery,1994,886
Alaska,Violent Crime,Robbery,1995,937
Alaska,Violent Crime,Robbery,1996,710
Alaska,Violent Crime,Robbery,1997,648
Alaska,Violent Crime,Robbery,1998,532
Alaska,Violent Crime,Robbery,1999,566
Alaska,Violent Crime,Robbery,2000,490
Alaska,Violent Crime,Robbery,2001,514
Alaska,Violent Crime,Robbery,2002,489
Alaska,Violent Crime,Robbery,2003,446
Alaska,Violent Crime,Robbery,2004,447
Alaska,Violent Crime,Robbery,2005,537
Alaska,Violent Crime,Aggravated assault,1960,102
Alaska,Violent Crime,Aggravated assault,1961,121
Alaska,Violent Crime,Aggravated assault,1962,134
Alaska,Violent Crime,Aggravated assault,1963,164
Alaska,Violent Crime,Aggravated assault,1964,240
Alaska,Violent Crime,Aggravated assault,1965,215
Alaska,Violent Crime,Aggravated assault,1966,223
Alaska,Violent Crime,Aggravated assault,1967,267
Alaska,Violent Crime,Aggravated assault,1968,251
Alaska,Violent Crime,Aggravated assault,1969,321
Alaska,Violent Crime,Aggravated assault,1970,507
Alaska,Violent Crime,Aggravated assault,1971,724
Alaska,Violent Crime,Aggravated assault,1972,821
Alaska,Violent Crime,Aggravated assault,1973,868
Alaska,Violent Crime,Aggravated assault,1974,1017
Alaska,Violent Crime,Aggravated assault,1975,1244
Alaska,Violent Crime,Aggravated assault,1976,1364
Alaska,Violent Crime,Aggravated assault,1977,1156
Alaska,Violent Crime,Aggravated assault,1978,1137
Alaska,Violent Crime,Aggravated assault,1979,1203
Alaska,Violent Crime,Aggravated assault,1980,1270
Alaska,Violent Crime,Aggravated assault,1981,1584
Alaska,Violent Crime,Aggravated assault,1982,1691
Alaska,Violent Crime,Aggravated assault,1983,1923
Alaska,Violent Crime,Aggravated assault,1984,2045
Alaska,Violent Crime,Aggravated assault,1985,2094
Alaska,Violent Crime,Aggravated assault,1986,2142
Alaska,Violent Crime,Aggravated assault,1987,1613
Alaska,Violent Crime,Aggravated assault,1988,1983
Alaska,Violent Crime,Aggravated assault,1989,1946
Alaska,Violent Crime,Aggravated assault,1990,2021
Alaska,Violent Crime,Aggravated assault,1991,2289
Alaska,Violent Crime,Aggravated assault,1992,2614
Alaska,Violent Crime,Aggravated assault,1993,3268
Alaska,Violent Crime,Aggravated assault,1994,3302
Alaska,Violent Crime,Aggravated assault,1995,3179
Alaska,Violent Crime,Aggravated assault,1996,3264
Alaska,Violent Crime,Aggravated assault,1997,3165
Alaska,Violent Crime,Aggravated assault,1998,3021
Alaska,Violent Crime,Aggravated assault,1999,2773
Alaska,Violent Crime,Aggravated assault,2000,2540
Alaska,Violent Crime,Aggravated assault,2001,2681
Alaska,Violent Crime,Aggravated assault,2002,2594
Alaska,Violent Crime,Aggravated assault,2003,2787
Alaska,Violent Crime,Aggravated assault,2004,3117
Alaska,Violent Crime,Aggravated assault,2005,3087
Alaska,Property Crime,Burglary,1960,751
Alaska,Property Crime,Burglary,1961,891
Alaska,Property Crime,Burglary,1962,865
Alaska,Property Crime,Burglary,1963,946
Alaska,Property Crime,Burglary,1964,1109
Alaska,Property Crime,Burglary,1965,1403
Alaska,Property Crime,Burglary,1966,1613
Alaska,Property Crime,Burglary,1967,1873
Alaska,Property Crime,Burglary,1968,2070
Alaska,Property Crime,Burglary,1969,2455
Alaska,Property Crime,Burglary,1970,2387
Alaska,Property Crime,Burglary,1971,2656
Alaska,Property Crime,Burglary,1972,3155
Alaska,Property Crime,Burglary,1973,3852
Alaska,Property Crime,Burglary,1974,3932
Alaska,Property Crime,Burglary,1975,4275
Alaska,Property Crime,Burglary,1976,4653
Alaska,Property Crime,Burglary,1977,5420
Alaska,Property Crime,Burglary,1978,5397
Alaska,Property Crime,Burglary,1979,5616
Alaska,Property Crime,Burglary,1980,5545
Alaska,Property Crime,Burglary,1981,5479
Alaska,Property Crime,Burglary,1982,5204
Alaska,Property Crime,Burglary,1983,5720
Alaska,Property Crime,Burglary,1984,6184
Alaska,Property Crime,Burglary,1985,6209
Alaska,Property Crime,Burglary,1986,6204
Alaska,Property Crime,Burglary,1987,5093
Alaska,Property Crime,Burglary,1988,4321
Alaska,Property Crime,Burglary,1989,4358
Alaska,Property Crime,Burglary,1990,4919
Alaska,Property Crime,Burglary,1991,5582
Alaska,Property Crime,Burglary,1992,5170
Alaska,Property Crime,Burglary,1993,4893
