SHIFT,OFFENSE,METHOD,CITY,STATE,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
MID,HOMICIDE,GUN,WASHINGTON,DC,5,5C,5C08,FIFTH,501,21,NONE,NONE,NONE,NONE
DAY,HOMICIDE,GUN,WASHINGTON,DC,8,8C,8C02,SEVENTH,705,39,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,7,7C,7C04,SIXTH,602,31,NONE,NONE,NONE,NONE
DAY,HOMICIDE,BLUNT FORCE TRAUMA,WASHINGTON,DC,7,7D,7D07,SIXTH,601,30,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,6,6C,6C03,FIRST,101,8,SURSUM CORDA,SURSUM CORDA,SURSUM CORDA,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,7,7E,7.00E+05,SIXTH,604,33,NONE,NONE,NONE,NONE
EVN,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,8,8D,8D02,SEVENTH,706,39,NONE,NONE,NONE,NONE
MID,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,NONE
DAY,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,8,8A,8A04,SEVENTH,701,28,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,7,7E,7.00E+01,SIXTH,604,33,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,4,4D,4D06,FOURTH,404,18,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,7,7E,7.00E+06,SIXTH,604,33,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,7,7A,7A01,SIXTH,604,33,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,8,8A,8A04,SEVENTH,701,28,NONE,NONE,NONE,NONE
EVN,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,5,5B,5B05,FIFTH,504,23,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,7,7A,7A03,SIXTH,603,32,NONE,NONE,NONE,NONE
DAY,HOMICIDE,BLUNT FORCE TRAUMA,WASHINGTON,DC,1,1B,1B03,THIRD,304,2,NONE,NONE,NONE,NONE
UNK,HOMICIDE,BLUNT FORCE TRAUMA,WASHINGTON,DC,5,5B,5B08,FIFTH,504,23,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8C,8C02,SEVENTH,703,37,NONE,NONE,NONE,NONE
DAY,HOMICIDE,GUN,WASHINGTON,DC,5,5B,5B12,FIFTH,504,23,NONE,NONE,NONE,NONE
DAY,HOMICIDE,GUN,WASHINGTON,DC,5,5C,5C05,FIFTH,501,21,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8E,8.00E+07,SEVENTH,706,39,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,4,4A,4A06,FOURTH,402,17,NONE,NONE,NONE,NONE
EVN,HOMICIDE,BLUNT FORCE TRAUMA,WASHINGTON,DC,1,1A,1A01,THIRD,302,2,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,5,5B,5B06,FIFTH,504,23,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,5,5B,5B06,FIFTH,504,23,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,5,5B,5B12,FIFTH,504,23,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,5,5B,5B10,FIFTH,504,23,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,8,8D,8D04,SEVENTH,706,39,NONE,NONE,NONE,NONE
DAY,HOMICIDE,GUN,WASHINGTON,DC,7,7D,7D03,SIXTH,601,29,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,7,7B,7B04,SIXTH,605,34,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,7,7C,7C05,SIXTH,602,31,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,1,1A,1A11,THIRD,302,2,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,8,8B,8B07,SEVENTH,704,38,NONE,NONE,NONE,NONE
DAY,HOMICIDE,GUN,WASHINGTON,DC,7,7C,7C03,SIXTH,602,31,NONE,NONE,50TH ST NE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,7,7C,7C05,SIXTH,602,31,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,7,7E,7.00E+07,SIXTH,604,33,NONE,NONE,NONE,NONE
MID,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,6,6A,6A07,FIRST,103,25,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,1,1C,1C06,THIRD,303,1,COLUMBIA RD NW & EUCLID ST NW,COLUMBIA RD NW & EUCLID ST NW,NONE,NONE
EVN,HOMICIDE,BLUNT FORCE TRAUMA,WASHINGTON,DC,8,8A,8A04,SEVENTH,701,28,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,8,8A,8A03,SIXTH,607,34,NONE,NONE,NONE,NONE
EVN,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,2,2C,2C03,THIRD,307,8,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,1,1C,1C06,THIRD,303,1,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,8,8A,8A01,SIXTH,607,34,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,4,4C,4C09,FOURTH,404,18,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8D,8D07,SEVENTH,706,39,NONE,NONE,NONE,NONE
MID,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,8,8E,8.00E+04,SEVENTH,706,39,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,7,7A,7A01,SIXTH,604,33,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8E,8.00E+07,SEVENTH,706,39,NONE,NONE,NONE,NONE
EVN,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,7,7B,7B01,SIXTH,607,34,NONE,NONE,NONE,NONE
MID,HOMICIDE,BLUNT FORCE TRAUMA,WASHINGTON,DC,8,8A,8A02,SIXTH,607,34,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,7,7A,7A03,SIXTH,603,32,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,8,8B,8B03,SEVENTH,702,36,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,7,7A,7A03,SIXTH,603,32,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,7,7E,7.00E+04,SIXTH,604,33,NONE,NONE,NONE,NONE
MID,HOMICIDE,UNKNOWN,WASHINGTON,DC,7,7C,7C02,SIXTH,602,31,NONE,NONE,CLAY TER NE,NONE
EVN,HOMICIDE,OTHER,WASHINGTON,DC,3,3B,3B02,SECOND,204,14,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,8,8B,8B03,SEVENTH,702,36,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,6,6D,6D06,FIRST,104,9,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8E,8.00E+07,SEVENTH,706,39,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,,,4,4C,4C03,FOURTH,404,18,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,8,8C,8C07,SEVENTH,705,39,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8D,8D01,SEVENTH,706,39,NONE,NONE,NONE,NONE
DAY,HOMICIDE,GUN,WASHINGTON,DC,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8B,8B06,SEVENTH,704,38,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8B,8B06,SEVENTH,704,38,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,7,7C,7C02,SIXTH,602,31,NONE,NONE,CLAY TER NE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,6,6C,6C03,FIRST,101,8,NONE,NONE,SURSUM CORDA,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,1,1B,1B10,THIRD,302,2,NONE,NONE,NONE,NONE
MID,HOMICIDE,UNKNOWN,WASHINGTON,DC,8,8D,8D02,SEVENTH,706,39,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,6,6B,6B06,FIRST,107,26,NONE,NONE,NONE,NONE
EVN,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,4,4B,4B02,FOURTH,401,17,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,5,5B,5B03,FIFTH,505,22,NONE,NONE,NONE,NONE
MID,HOMICIDE,BLUNT FORCE TRAUMA,WASHINGTON,DC,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,NONE
EVN,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,7,7C,7C06,SIXTH,602,31,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,4,4C,4C07,FOURTH,404,18,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8B,8B03,SEVENTH,702,36,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,4,4B,4B05,FOURTH,403,18,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,1,1B,1B06,THIRD,304,2,14TH ST NW & CLIFTON ST NW,14TH ST NW & CLIFTON ST NW,NONE,NONE
EVN,HOMICIDE,BLUNT FORCE TRAUMA,WASHINGTON,DC,8,8B,8B04,SEVENTH,701,37,NONE,NONE,NONE,NONE
DAY,HOMICIDE,GUN,WASHINGTON,DC,8,8D,8D07,SEVENTH,706,39,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,8,8C,8C01,SEVENTH,703,37,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8B,8B03,SEVENTH,702,36,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,5,5B,5B08,FIFTH,504,23,NONE,NONE,NONE,NONE
EVN,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,2,2F,2F05,THIRD,307,7,NONE,NONE,NONE,NONE
MID,HOMICIDE,BLUNT FORCE TRAUMA,WASHINGTON,DC,7,7C,7C01,SIXTH,602,31,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,5,5A,5A02,FOURTH,405,19,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,5,5C,5C01,FIFTH,501,21,NONE,NONE,NORTH CAPITOL ST,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,6,6D,6D03,FIRST,104,9,NONE,NONE,NONE,NONE
DAY,HOMICIDE,GUN,WASHINGTON,DC,6,6C,6C09,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
MID,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,5,5C,5C02,FIFTH,501,21,NONE,NONE,NONE,NONE
DAY,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,1,1B,1B09,THIRD,304,2,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,4,4D,4D06,FOURTH,403,18,NONE,NONE,NONE,NONE
EVN,HOMICIDE,"KNIFE, CUTTING INSTR",WASHINGTON,DC,8,8D,8D04,SEVENTH,706,39,NONE,NONE,NONE,NONE
DAY,HOMICIDE,GUN,WASHINGTON,DC,6,6D,6D06,FIRST,104,9,NONE,NONE,1ST ST SW & M ST SW,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8B,8B04,SEVENTH,702,36,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,8,8A,8A02,SIXTH,607,34,NONE,NONE,NONE,NONE
UNK,HOMICIDE,GUN,WASHINGTON,DC,1,1A,1A10,THIRD,302,2,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,5,5A,5A07,FIFTH,502,22,NONE,NONE,NONE,NONE
MID,HOMICIDE,GUN,WASHINGTON,DC,5,5B,5B09,FIFTH,505,22,NONE,NONE,NONE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,8,8D,8D01,SEVENTH,706,39,NONE,NONE,YUMA ST SE,NONE
EVN,HOMICIDE,GUN,WASHINGTON,DC,1,1A,1A08,THIRD,302,2,NONE,NONE,NONE,NONE
UNK,HOMICIDE,GUN,WASHINGTON,DC,8,8E,8.00E+02,SEVENTH,705,38,NONE,NONE,NONE,NONE
EVN,THEFT F/AUTO,2,WASHINGTON,DC,4,4B,4B03,FOURTH,402,17,NONE,NONE,NONE,NONE
UNK,THEFT,2,WASHINGTON,DC,2,6D,6D02,FIRST,104,9,NONE,NONE,NONE,NONE
DAY,THEFT,2,WASHINGTON,DC,2,6D,6D02,FIRST,104,9,NONE,NONE,NONE,CAPITOL HILL BID
UNK,ADW,OTHER,WASHINGTON,DC,8,8A,8A06,SEVENTH,703,37,NONE,NONE,NONE,NONE
UNK,ROBBERY,GUN,WASHINGTON,DC,8,8A,8A05,SEVENTH,703,37,NONE,NONE,NONE,NONE
UNK,THEFT,2,WASHINGTON,DC,8,8C,8C01,SEVENTH,703,37,NONE,NONE,NONE,NONE
UNK,ROBBERY,F&V,WASHINGTON,DC,8,8C,8C01,SEVENTH,703,37,NONE,NONE,NONE,NONE
UNK,BURGLARY,2,WASHINGTON,DC,8,8C,8C02,SEVENTH,703,37,NONE,NONE,NONE,NONE
UNK,THEFT F/AUTO,1,WASHINGTON,DC,5,5B,5B09,FIFTH,503,24,NONE,NONE,NONE,NONE
UNK,THEFT F/AUTO,1,WASHINGTON,DC,5,5B,5B09,FIFTH,504,23,NONE,NONE,NONE,NONE
UNK,ADW,KNIFE,WASHINGTON,DC,5,5B,5B12,FIFTH,504,23,NONE,NONE,NONE,NONE
UNK,ROBBERY,SNATCH,WASHINGTON,DC,1,1A,1A09,THIRD,302,2,NONE,NONE,NONE,NONE
UNK,ADW,OTHER,WASHINGTON,DC,1,1B,1B01,THIRD,305,3,NONE,NONE,NONE,NONE
UNK,ROBBERY,GUN,WASHINGTON,DC,1,1A,1A10,THIRD,302,2,NONE,NONE,NONE,NONE
UNK,BURGLARY,2,WASHINGTON,DC,8,8B,8B07,SEVENTH,704,38,NONE,NONE,NONE,NONE
UNK,ADW,OTHER,WASHINGTON,DC,5,5B,5B09,FIFTH,504,23,NONE,NONE,NONE,NONE
UNK,ADW,OTHER,WASHINGTON,DC,2,2C,2C03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
UNK,ADW,OTHER,WASHINGTON,DC,1,1A,1A02,THIRD,302,2,NONE,NONE,NONE,NONE
UNK,THEFT,2,WASHINGTON,DC,7,7A,7A07,SIXTH,607,34,NONE,NONE,NONE,NONE
UNK,THEFT,2,WASHINGTON,DC,2,2E,2.00E+05,SECOND,206,4,NONE,NONE,NONE,GEORGETOWN BID
UNK,ROBBERY,F&V,WASHINGTON,DC,8,8A,8A04,SEVENTH,701,28,NONE,NONE,NONE,NONE
UNK,STOLEN AUTO,STOLEN AUTO,WASHINGTON,DC,1,1C,1C07,THIRD,303,1,NONE,NONE,NONE,ADAMS MORGAN BID
UNK,THEFT,2,WASHINGTON,DC,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,NONE
UNK,STOLEN AUTO,STOLEN AUTO,WASHINGTON,DC,8,8E,8.00E+06,SEVENTH,706,39,NONE,NONE,NONE,NONE
UNK,ROBBERY,F&V,WASHINGTON,DC,4,4C,4C05,FOURTH,404,18,NONE,NONE,NONE,NONE
UNK,THEFT,2,WASHINGTON,DC,2,2B,2B02,SECOND,208,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
UNK,STOLEN AUTO,STOLEN AUTO,WASHINGTON,DC,7,7D,7D04,SIXTH,603,32,NONE,NONE,NONE,NONE
UNK,ADW,KNIFE,WASHINGTON,DC,4,4D,4D04,FOURTH,403,18,NONE,NONE,NONE,NONE
UNK,ADW,OTHER,WASHINGTON,DC,1,1B,1B06,THIRD,304,2,14TH ST NW & CLIFTON ST NW,14TH ST NW & CLIFTON ST NW,14TH ST NW,NONE
UNK,THEFT F/AUTO,2,WASHINGTON,DC,3,3B,3B04,SECOND,204,14,NONE,NONE,NONE,NONE
UNK,THEFT F/AUTO,2,WASHINGTON,DC,2,2F,NONE,THIRD,307,7,NONE,NONE,NONE,NONE
UNK,THEFT,2,WASHINGTON,DC,2,2B,2B05,SECOND,208,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
UNK,ADW,KNIFE,WASHINGTON,DC,1,1B,1B07,THIRD,304,2,NONE,NONE,NONE,NONE
UNK,ADW,KNIFE,WASHINGTON,DC,1,1A,1A03,THIRD,303,2,NONE,NONE,NONE,NONE
UNK,THEFT F/AUTO,2,WASHINGTON,DC,5,5C,5C07,FIFTH,501,21,NONE,NONE,NONE,NONE
UNK,ROBBERY,GUN,WASHINGTON,DC,5,5C,5C05,FIFTH,501,21,RHODE ISLAND AVE NE,RHODE ISLAND AVE NE,NONE,NONE
UNK,THEFT F/AUTO,2,WASHINGTON,DC,1,1A,1A05,THIRD,302,2,NONE,NONE,NONE,NONE
UNK,STOLEN AUTO,STOLEN AUTO,WASHINGTON,DC,7,7C,7C05,SIXTH,602,31,NONE,NONE,NONE,NONE
UNK,THEFT,2,WASHINGTON,DC,1,1C,1C07,THIRD,303,1,NONE,NONE,NONE,ADAMS MORGAN BID
UNK,BURGLARY,1,WASHINGTON,DC,2,2E,2.00E+05,SECOND,206,4,NONE,NONE,NONE,GEORGETOWN BID
UNK,BURGLARY,1,WASHINGTON,DC,2,2E,2.00E+05,SECOND,206,4,NONE,NONE,NONE,GEORGETOWN BID
UNK,THEFT F/AUTO,2,WASHINGTON,DC,5,5B,5B06,FIFTH,504,23,NONE,NONE,NONE,NONE
UNK,THEFT F/AUTO,2,WASHINGTON,DC,1,1A,1A09,THIRD,302,2,NONE,NONE,GEORGIA AVE NW,NONE
UNK,THEFT F/AUTO,2,WASHINGTON,DC,1,1A,1A07,THIRD,302,2,NONE,NONE,NONE,NONE
UNK,THEFT F/AUTO,1,WASHINGTON,DC,5,5C,5C09,FIFTH,501,21,NONE,NONE,NONE,NONE
UNK,ADW,KNIFE,WASHINGTON,DC,7,7E,7.00E+03,SIXTH,604,33,NONE,NONE,NONE,NONE
UNK,THEFT,1,WASHINGTON,DC,2,2C,2C03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
UNK,THEFT F/AUTO,1,WASHINGTON,DC,1,1A,1A04,THIRD,302,2,NONE,NONE,NONE,NONE
UNK,THEFT,1,WASHINGTON,DC,2,2A,2A02,SECOND,208,5,NONE,NONE,NONE,NONE
UNK,THEFT F/AUTO,1,WASHINGTON,DC,6,6C,6C03,FIRST,101,8,NONE,NONE,SURSUM CORDA,NONE
UNK,ADW,GUN,WASHINGTON,DC,7,7A,7A01,SIXTH,604,33,NONE,NONE,NONE,NONE
UNK,THEFT,1,WASHINGTON,DC,8,8E,8.00E+04,SEVENTH,706,39,NONE,NONE,NONE,NONE
UNK,THEFT,2,WASHINGTON,DC,4,4C,4C06,FOURTH,404,18,NONE,NONE,NONE,NONE
UNK,STOLEN AUTO,STOLEN AUTO,WASHINGTON,DC,5,5A,5A04,FOURTH,405,20,NONE,NONE,NONE,NONE
UNK,THEFT,2,WASHINGTON,DC,2,2A,2A02,SECOND,208,6,NONE,NONE,NONE,NONE
UNK,STOLEN AUTO,STOLEN AUTO,WASHINGTON,DC,5,5B,5B09,FIFTH,505,22,NONE,NONE,NONE,NONE
UNK,THEFT F/AUTO,2,,,5,5A,5A12,FIFTH,503,24,NONE,NONE,NONE,NONE
UNK,THEFT F/AUTO,2,WASHINGTON,DC,2,2F,2F06,THIRD,307,7,NONE,NONE,NONE,NONE
UNK,THEFT F/AUTO,1,WASHINGTON,DC,1,1A,1A06,THIRD,302,2,NONE,NONE,NONE,NONE
UNK,BURGLARY,2,WASHINGTON,DC,6,6B,6B05,FIRST,106,26,NONE,NONE,NONE,NONE
UNK,THEFT,2,WASHINGTON,DC,2,2B,2B02,SECOND,208,6,NONE,NONE,NONE,NONE
UNK,THEFT F/AUTO,2,WASHINGTON,DC,1,1D,1D04,THIRD,301,2,NONE,NONE,NONE,NONE
UNK,ROBBERY,PBS,WASHINGTON,DC,2,2C,2C02,THIRD,308,7,NONE,NONE,NONE,NONE
UNK,ADW,GUN,WASHINGTON,DC,7,7D,7D03,SIXTH,601,29,NONE,NONE,NONE,NONE
UNK,THEFT,2,WASHINGTON,DC,5,5A,5A05,FOURTH,405,20,NONE,NONE,NONE,NONE
UNK,BURGLARY,2,WASHINGTON,DC,7,7C,7C06,SIXTH,602,31,NONE,NONE,NONE,NONE
UNK,BURGLARY,2,WASHINGTON,DC,3,3D,3D01,SECOND,205,13,NONE,NONE,NONE,NONE
UNK,ADW,OTHER,WASHINGTON,DC,4,4C,4C01,FOURTH,403,18,NONE,NONE,NONE,NONE
UNK,THEFT F/AUTO,2,WASHINGTON,DC,1,1A,1A09,THIRD,302,2,NONE,NONE,NONE,NONE
UNK,ROBBERY,ASSAULT W/INTENT,WASHINGTON,DC,6,6B,6B09,FIRST,107,26,NONE,NONE,NONE,NONE
UNK,THEFT,2,WASHINGTON,DC,1,1A,1A10,THIRD,302,2,NONE,NONE,NONE,NONE
UNK,BURGLARY,2,WASHINGTON,DC,2,2F,2F03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
UNK,STOLEN AUTO,STOLEN AUTO,WASHINGTON,DC,5,5A,5A02,FOURTH,405,19,NONE,NONE,NONE,NONE
UNK,BURGLARY,2,WASHINGTON,DC,6,6A,6A03,FIRST,102,25,NONE,NONE,NONE,NONE
UNK,ADW,OTHER,WASHINGTON,DC,5,5B,5B07,FIFTH,504,23,NONE,NONE,NONE,NONE
UNK,THEFT F/AUTO,2,WASHINGTON,DC,2,2F,2F01,THIRD,307,7,NONE,NONE,NONE,NONE
UNK,STOLEN AUTO,STOLEN AUTO,WASHINGTON,DC,7,7B,7B02,SIXTH,606,35,NONE,NONE,NONE,NONE
UNK,THEFT F/AUTO,2,WASHINGTON,DC,6,6C,6C04,FIRST,101,25,NONE,NONE,NONE,NOMA BID
UNK,THEFT F/AUTO,1,WASHINGTON,DC,3,3F,3F06,SECOND,202,11,NONE,NONE,NONE,NONE
UNK,THEFT F/AUTO,2,WASHINGTON,DC,1,1B,1B01,THIRD,305,3,NONE,NONE,NONE,NONE
