Team,G,Pts/G,Yds/G,PassYds,RushYds,1stD/G,3rdM,3rdD%,4thM,4thD%,Pen,PenYds,TOP
Illinois,12,19.7,315.1,2095,1686,15.0,44,28.4,7,43.8,75,639,13:24
Cincinnati,12,19.3,374.1,3071,1418,19.3,69,37.9,7,41.2,55,544,07:45
Wake Forest,12,19.3,306.8,1911,1770,16.9,65,34.2,7,41.2,54,433,11:48
South Carolina,12,19.3,336.4,2381,1656,17.8,59,34.5,11,52.4,62,571,12:02
Boston Coll.,12,19.1,288.3,1698,1761,14.5,62,32.5,10,50.0,84,700,10:02
Texas St.,12,18.6,302.3,2639,989,17.7,58,31.0,11,47.8,82,687,09:29
Fresno St.,12,17.7,329.3,2557,1394,17.2,76,38.2,8,34.8,76,669,10:33
Buffalo,12,16.5,353.8,2406,1839,18.3,66,36.5,7,43.8,63,517,07:07
Rutgers,12,15.7,283.2,1659,1739,15.5,60,30.8,7,43.8,63,516,06:42
Connecticut,12,14.8,320.0,2432,1408,17.1,61,33.7,11,47.8,43,339,09:19
